iter	Huber:delta=0.5
0	0.5685947642
1	0.5528350555
2	0.5238533743
3	0.5063115158
4	0.4812703366
5	0.4563205934
6	0.4444683396
7	0.4316043183
8	0.4207048257
9	0.407090629
10	0.384906239
11	0.3755592198
12	0.3657597412
13	0.35655535
14	0.3445109178
15	0.3304576525
16	0.3184002175
17	0.3076005144
18	0.2994013542
19	0.2913185323
20	0.2821408473
21	0.2756752508
22	0.2685009115
23	0.2626932432
24	0.2585280776
25	0.2533276385
26	0.248346323
27	0.2443331341
28	0.2399497633
29	0.2354098324
30	0.2317821544
31	0.2274746782
32	0.2240934743
33	0.2210652305
34	0.2177373531
35	0.2151401189
36	0.2126096603
37	0.2102013765
38	0.2075974846
39	0.204735003
40	0.2025605015
41	0.2005091902
42	0.1982355391
43	0.1961879887
44	0.1937934779
45	0.1921442213
46	0.1903779813
47	0.1887737752
48	0.1866153944
49	0.1852061235
50	0.1838640748
51	0.1823028233
52	0.1809179711
53	0.1789655873
54	0.1778976765
55	0.1767384053
56	0.1756295961
57	0.1742904897
58	0.1730539914
59	0.1718294855
60	0.1707651087
61	0.1694775597
62	0.1683719844
63	0.1675715064
64	0.1666330711
65	0.1654478756
66	0.1643636602
67	0.1635240371
68	0.1627090759
69	0.1619963111
70	0.1610153314
71	0.1596123075
72	0.1588259975
73	0.1579994626
74	0.1570922772
75	0.1562794719
76	0.1554966947
77	0.1546798526
78	0.1540576694
79	0.1533915129
80	0.1528461678
81	0.1523882898
82	0.1517904056
83	0.1513664489
84	0.1507492512
85	0.1501561994
86	0.1495555682
87	0.1491687639
88	0.1485456231
89	0.1480763219
90	0.1477415481
91	0.1473256763
92	0.1468476702
93	0.1463301765
94	0.1458766419
95	0.1455200189
96	0.145257653
97	0.1448519063
98	0.1445270399
99	0.1441491365
100	0.1438277546
101	0.143509306
102	0.143164007
103	0.1428016448
104	0.1425116045
105	0.1421658063
106	0.141829427
107	0.1415945518
108	0.1413411535
109	0.1410888882
110	0.1408509562
111	0.1406281854
112	0.1404062829
113	0.1401946387
114	0.1400204051
115	0.1398718271
116	0.1396340768
117	0.1394092429
118	0.1392887345
119	0.1390912509
120	0.1389618078
121	0.1387521942
122	0.1385992186
123	0.1383893639
124	0.138221861
125	0.1380466291
126	0.1378920622
127	0.1377179468
128	0.1375713546
129	0.1374735184
130	0.1373261308
131	0.1371732685
132	0.1370304803
133	0.1369095782
134	0.1367312565
135	0.1366447905
136	0.1364995712
137	0.1364099976
138	0.1362835691
139	0.1362124994
140	0.1361101519
141	0.1360150418
142	0.1359143169
143	0.1357403265
144	0.1356321928
145	0.1355252889
146	0.1354420141
147	0.1353758956
148	0.1352460696
149	0.1351823447
150	0.1351090612
151	0.1349741329
152	0.1349019808
153	0.1348231206
154	0.1347363259
155	0.1346387318
156	0.1345666429
157	0.1345002537
158	0.1344096266
159	0.1343366083
160	0.1342696286
161	0.1341769571
162	0.1340933667
163	0.1340279561
164	0.133987177
165	0.1339132597
166	0.1338406357
167	0.1337075721
168	0.1336471394
169	0.1335288086
170	0.1334583663
171	0.1333945836
172	0.1333388605
173	0.1333023213
174	0.1332411185
175	0.1331912754
176	0.133131367
177	0.1330713705
178	0.1330351364
179	0.1329626064
180	0.1329118998
181	0.132849145
182	0.1327878308
183	0.1327303117
184	0.1326367546
185	0.1325855023
186	0.1325020278
187	0.1324077407
188	0.1323441988
189	0.1322901026
190	0.132235592
191	0.1322008288
192	0.1321616639
193	0.1321007178
194	0.1320576767
195	0.1319744595
196	0.1319509544
197	0.1319113964
198	0.1318167769
199	0.1317718542
200	0.1317080503
201	0.1316542256
202	0.1315922807
203	0.1315427307
204	0.131509184
205	0.1314568363
206	0.1314198126
207	0.1313778194
208	0.1313486925
209	0.1312818859
210	0.1312337169
211	0.1311816141
212	0.1311188302
213	0.1310760602
214	0.131023064
215	0.1309807593
216	0.1309407606
217	0.1308828481
218	0.1308363882
219	0.1307918595
220	0.1307521908
221	0.1307232621
222	0.1306972919
223	0.1306399013
224	0.1306006522
225	0.1305810813
226	0.1304983767
227	0.1304557323
228	0.1304047003
229	0.1303660929
230	0.1302918564
231	0.1302660595
232	0.130238512
233	0.1301932666
234	0.1301610211
235	0.1301372037
236	0.1301025133
237	0.1300132419
238	0.1299758856
239	0.1299432136
240	0.1298897382
241	0.1298523541
242	0.1298060911
243	0.1297351893
244	0.1297007312
245	0.1296515994
246	0.1296262491
247	0.1296039208
248	0.1295540075
249	0.1295126208
250	0.1294856197
251	0.1294166433
252	0.1294014626
253	0.129353362
254	0.1293187783
255	0.129290444
256	0.1292590843
257	0.1292194244
258	0.1291752749
259	0.129145554
260	0.129125336
261	0.1290992692
262	0.1290795747
263	0.1290556444
264	0.1290282287
265	0.129007904
266	0.1289351636
267	0.1289150544
268	0.1288452784
269	0.1288225242
270	0.1287561659
271	0.1287082558
272	0.1286893845
273	0.1286630031
274	0.1286352802
275	0.1285830779
276	0.128547701
277	0.1285146672
278	0.1284912715
279	0.1284563113
280	0.1284317174
281	0.1284020151
282	0.1283395074
283	0.1283027581
284	0.1282842342
285	0.1282527403
286	0.1282064534
287	0.1281912543
288	0.1281743959
289	0.1281474368
290	0.1281312214
291	0.1280976447
292	0.1280667729
293	0.1280560369
294	0.1280209686
295	0.1279923578
296	0.1279778248
297	0.1279516691
298	0.1279133381
299	0.1278820702
300	0.1278280023
301	0.1277992574
302	0.1277891089
303	0.1277741522
304	0.1277579024
305	0.1277250409
306	0.127703282
307	0.1276875616
308	0.1276633841
309	0.1276287268
310	0.1275786689
311	0.1275684075
312	0.127496701
313	0.1274616566
314	0.1274411005
315	0.1274215077
316	0.1274006506
317	0.1273579998
318	0.1273364727
319	0.1273071909
320	0.1272870203
321	0.1272588701
322	0.1272432335
323	0.1272247918
324	0.1272037201
325	0.1271913234
326	0.1271711339
327	0.127153857
328	0.1271231867
329	0.1270668284
330	0.1270429657
331	0.1270348947
332	0.1270205479
333	0.1269981795
334	0.1269701785
335	0.126944848
336	0.1269088453
337	0.1268978035
338	0.1268639193
339	0.1268513997
340	0.1268438858
341	0.1268029305
342	0.1267845188
343	0.1267680809
344	0.1267456208
345	0.1266753146
346	0.1266476035
347	0.1266314798
348	0.1266105051
349	0.1265805304
350	0.1265704495
351	0.1265477342
352	0.1265303732
353	0.1264992921
354	0.1264911068
355	0.1264734867
356	0.1264588456
357	0.1264365808
358	0.1264095206
359	0.1263913218
360	0.1263745174
361	0.1263520175
362	0.1263359668
363	0.126290892
364	0.1262803072
365	0.1262667496
366	0.1262530771
367	0.1262421144
368	0.1262221836
369	0.1262034183
370	0.1261665913
371	0.1261493014
