H,april,sept,total,vs_a,time
1,25.027,42.1469,67.1739,74.7439,10.905802011489868
4,23.2103,40.2876,63.4979,71.06790000000001,10.751415967941284
8,10.1613,29.5959,39.7572,47.3272,13.538917541503906
16,-1.6948,18.6806,16.9858,24.5558,16.05120086669922
24,-7.1014,13.1849,6.0835,13.653500000000001,19.826969385147095
48,-19.0123,2.164,-16.8483,-9.278299999999998,27.217473030090332
96,-19.7828,0.6213,-19.1615,-11.5915,58.11464524269104
192,-20.5305,-1.3082,-21.8387,-14.268699999999999,107.41292667388916
288,-21.1028,-1.2443,-22.3471,-14.7771,149.44448971748352
672,-21.241,-1.2842,-22.5252,-14.955200000000001,508.57728266716003
