H,april,sept,total,vs_a,time
1,25.027,42.1469,67.1739,74.7439,29.636321544647217
4,23.1853,40.2068,63.3921,70.96209999999999,31.986325979232788
8,10.1081,29.5162,39.6243,47.1943,32.31751298904419
16,-1.7497,18.5739,16.8242,24.3942,31.327993154525757
24,-6.8534,13.0101,6.1567,13.726700000000001,39.32308483123779
48,-19.0275,2.1534,-16.8741,-9.304099999999998,56.94971966743469
96,-19.7458,0.6675,-19.0783,-11.508299999999998,112.12113690376282
192,-20.2019,-1.2471,-21.449,-13.879000000000001,185.35594701766968
288,-20.5953,-1.1596,-21.7549,-14.184899999999999,298.35347723960876
672,-20.6612,-1.2286,-21.8898,-14.3198,710.255752325058
