feature,importance,is_new_v3
lag_1,2368,False
d_lag1,1782,False
pv_kw,1628,False
net_load_lag1,1128,False
lag_2,813,False
pv_lag1,587,False
roll_4_std,517,False
roll_4_min,466,False
roll_4_mean,452,False
roll_4_max,449,False
net_load_roll96_mean,436,False
cos_24h,395,False
lag_96,387,False
lag_4,365,False
sin_12h,359,False
lag_3,357,False
d_lag4,343,False
lag_192,323,False
roll_8_mean,320,False
roll_16_max,294,False
daylight_h,284,True
cos_annual,276,False
lag_1344,267,False
dew_point_2m,264,True
lag_2016,233,False
net_load_lag4,230,False
lag_6,217,False
lag_672,215,False
net_load_lag672,200,False
lag_576,197,False
hrs_since_sunrise,193,True
roll_16_min,192,False
lag_8,190,False
apparent_temperature,188,True
sin_semiann,187,False
sin_24h,187,False
lag_288,185,False
roll_16_std,185,False
hrs_until_sunset,174,True
lag_480,173,False
roll_384_mean,170,False
lag_384,170,False
cos_12h,166,False
net_load_lag96,162,False
temp_d_lag1h,162,True
rad_roll96_mean,161,False
lag_12,157,False
temp_lag96,156,False
roll_96_std,156,False
pv_lag672,149,False
temp_lag1,147,False
roll_672_mean,144,False
temp_lag672,142,False
roll_16_mean,141,False
roll_96_mean,139,False
app_hdd,135,True
sin_8h,125,False
temperature_2m,123,False
roll_96_max,121,False
cos_8h,119,False
pv_lag8,108,False
lag_32,106,False
hdd,105,False
d_lag96,104,False
roll_96_min,101,False
wind_speed_10m,97,True
lag_16,96,False
lag_48,93,False
cos_4h,92,False
shortwave_radiation,90,False
wind_x_hour,89,True
cos_semiann,88,False
wind_lag1,86,True
temp_d_lag96,83,False
hdd_x_wknd,82,False
direct_normal_irradiance,82,True
d_lag672,82,False
pv_lag4,80,False
relative_humidity_2m,74,False
pv_lag192,74,False
diffuse_radiation,73,True
lag_64,72,False
wind_direction_10m,72,True
cos_6h,71,False
sin_6h,68,False
rad_lag96,68,False
pressure_msl,66,True
lag_24,66,False
hour,65,False
sin_4h,65,False
week_of_year,64,False
surface_pressure,62,True
sin_annual,62,False
pv_lag96,61,False
day_of_year,60,False
precip_24h_sum,60,True
wind_gusts_10m,58,True
direct_radiation,56,True
app_cdd,53,True
days_since_last_hol,44,True
cloud_cover,42,False
is_summer,37,True
snowfall_lag1,35,True
is_school_holiday,24,True
days_to_next_hol,24,True
snowfall_24h_sum,24,True
tariff_enc,23,False
rain,22,True
temp_x_wknd,21,False
dow,20,False
cdd,15,False
snowfall,15,True
precipitation,13,True
month,12,False
buy_price,10,False
cdd_x_summer,9,True
very_cold_morning,7,True
is_pre_dawn,7,True
is_day,7,True
cold_evening,7,True
is_heating_season,4,True
is_holiday,3,False
is_ferragosto_window,3,True
is_lunch_hour,2,True
is_weekend,2,False
rad_x_dinner,2,True
hot_afternoon,1,True
is_dinner_hour,1,True
is_late_evening,0,True
is_bridge_day,0,True
is_christmas_window,0,True
snowfall_x_holiday,0,True
